call_letters,network,location
KFXK-TV,51.1Fox,"Longview, Texas"
,58.2KLPN-LD,
KFXL-TV,Fox,"Lincoln, Nebraska"
KFYR-TV,5.1NBC,"Bismarck, North Dakota"
,31.2Fox,
,31.3MeTV,
KGAN,2.1CBS,"Cedar Rapids, Iowa"
KGBT-TV,CBS,"Harlingen, Texas"
KGBY,COZI TV,"Grand Junction, Colorado"
KGCW,26.1The CW,"Burlington, Iowa"
,41.2This TV,
,41.3MeTV,
KGEB,GEB,"Tulsa, Oklahoma"
KGET-TV,17.1NBC,"Bakersfield, California"
,25.2The CW,
,17.3KKEY-LP,
KGFE,PBS,"Grand Forks, North Dakota"
KGHZ,33.1ABC,"Springfield, Missouri"
,15.2KSPR-LD,
KGIN,11.1CBS,"Grand Island, Nebraska"
,11.2NBC,
KGLA-DT,Telemundo,"Hammond, Louisiana"
KGMB,CBS,"Honolulu, Hawaii"
KGMC,MundoFox,"Clovis, California"
KGMD-TV,CBS,"Hilo, Hawaii"
KGMV,CBS,"Wailuku, Hawaii"
KGNS-TV,8.1NBC,"Laredo, Texas"
,8.2ABC,
KGO-TV,7.1ABC,"San Francisco, California"
,7.2Channel 7.2(LWN),
KGPE,CBS,"Fresno, California"
KGPX-TV,ION Television,"Spokane, Washington"
KGTF,12.1 PBS,"Agana, Guam"
KGTV,10.1ABC,"San Diego, California"
,41.15KZSD-LP,
KGUN-TV,ABC,"Tucson, Arizona"
KGW,8.1NBC,"Portland, Oregon"
,8.2Justice Network,
,8.3Estrella TV,
KGWC-TV,CBS,"Casper, Wyoming"
KGWL-TV,CBS,"Lander, Wyoming"
KGWN-TV,5.1CBS,"Cheyenne, Wyoming"
,5.3The CW,
KGWR-TV,CBS,"Rock Springs, Wyoming"
KHAW-TV,Fox,"Hilo, Hawaii"
KHBC-TV,2.1NBC,"Hilo, Hawaii"
,22.2CBS,
KHBS,40.1ABC,"Fort Smith, Arkansas"
,21.2The CW,
KHCE-TV,TBN,"San Antonio, Texas"
KHET,PBS,"Honolulu, Hawaii"
KHGI-TV,13.1ABC,"Kearney, Nebraska"
,13.2Fox,
KHIN,PBS,"Red Oak, Iowa"
KHME,ABC,"Rapid City, South Dakota"
KHMT,Fox/Jewelry TV,"Hardin, Montana"
KHNE-TV,PBS,"Hastings, Nebraska"
KHNL,NBC,"Honolulu, Hawaii"
KHOG-TV,29.1ABC,"Fayetteville, Arkansas"
,15.2The CW,
KHON-TV,2.1Fox,"Honolulu, Hawaii"
,8.2The CW,
KHOU,CBS,"Houston, Texas"
KHQ-TV,6.1NBC,"Spokane, Washington"
,15.2SWX Right Now,
KHQA-TV,7.1CBS,"Hannibal, Missouri"
,7.2ABC,
KHRR,Telemundo,"Tucson, Arizona"
KHSD-TV,Fox,"Lead, South Dakota"
KHSL-TV,12.1CBS,"Chico, California"
,43.2The CW,
KHSV,MyNetworkTV,"Las Vegas, Nevada"
KHVO,13.1ABC,"Hilo, Hawaii"
,13.2MeTV,
KIAH,The CW,"Houston, Texas"
KICU-TV,Independent,"San Jose, California"
KIDK,3.1CBS,"Idaho Falls, Idaho"
,34.2KXPI-LD,
KIDY,6.1Fox,"San Angelo, Texas"
,19.2MyNetworkTV,
KIEM-TV,NBC,"Eureka, California"
KIFI-TV,8.1ABC,"Idaho Falls, Idaho"
,8.2Telemundo,
,8.3The CW,
,8.4 Local News Now,
KIII,3.1ABC,"Corpus Christi, Texas"
,8.2MeTV,
KIIN,PBS,"Iowa City, Iowa"
KIKU,"Independent, ethnic","Honolulu, Hawaii"
KILM,infomercials,"Barstow, California"
KIMA-TV,29.1CBS,"Yakima, Washington"
,33.2The CW,
KIMT,3.1CBS,"Mason City, Iowa"
,3.2MyNetworkTV,
KINC,15.1Univision,"Las Vegas, Nevada"
,27.2KELV-LD,
KING-TV,NBC,"Seattle, Washington"
KINT-TV,Univision,"El Paso, Texas"
KION-TV,46.1CBS,"Monterey, California"
,32.2The CW,
KIPT,PBS,"Twin Falls, Idaho"
KIRO-TV,7.1CBS,"Seattle, Washington"
KISU-TV,PBS,"Pocatello, Idaho"
KITU-TV,TBN,"Beaumont, Texas"
KITV,4.1ABC,"Honolulu, Hawaii"
,40.2MeTV,
KIVI-TV,6.1ABC,"Nampa, Idaho"
KIXE-TV,PBS,"Redding, California"
KJLA,LATV,"Ventura, California"
KJNP-TV,TBN,"North Pole, Alaska"
KJRE,PBS,"Ellendale, North Dakota"
KJRH-TV,NBC,"Tulsa, Oklahoma"
KJRR,Fox,"Jamestown, North Dakota"
KJRW,17.1CBS,"Eureka, California"
,17.2MyNetworkTV,
KJTL,18.1Fox,"Wichita Falls, Texas"
,15.2Bounce TV,
KJTV-TV,34.1Fox,"Lubbock, Texas"
,32.2Independent,
KJUD,8.1ABC,"Juneau, Alaska"
,11.2The CW,
,11.3Fox,
KJWP,2.1MeTV,"Wilmington, Delaware"
,2.2Grit,
,2.3Escape,
KJZZ-TV,14.1 Independent,"Salt Lake City, Utah"
,14.2 Comet,
,14.3 Charge!,
,14.4 TBD,
KKAI,RTV,"Kailua, Hawaii"
KKAP,Daystar Television Network,"Little Rock, Arkansas"
KKCO,NBC,"Grand Junction, Colorado"
KKJB,39.1Telemundo,"Boise, Idaho"
KKPX-TV,ION Television,"San Jose, California"
KKTV,11.1CBS,"Colorado Springs, Colorado"
,49.2MyNetworkTV,
KLAS-TV,8.1CBS,"Las Vegas, Nevada"
,7.2MeTV,
KLAX-TV,31.1ABC,"Alexandria, Louisiana"
,31.2MeTV,
KLBK-TV,CBS,"Lubbock, Texas"
KLBY,4.1ABC,"Colby, Kansas"
,17.2MeTV,
KLCS,PBS,"Los Angeles, California"
KLCW-TV,43.1The CW,"Wolfforth, Texas"
,46.3KXTQ-CD,
KLDO-TV,27.1Univision,"Laredo, Texas"
,19.2LATV,
KLEI-TV,The Family Channel,"Kailua Kona, Hawaii"
KLEW-TV,CBS,"Lewiston, Idaho"
KLFY-TV,CBS,"Lafayette, Louisiana"
KLJB,18.1Fox,"Davenport, Iowa"
,49.3MeTV,
KLKN,8.1ABC,"Lincoln, Nebraska"
KLNE-TV,PBS,"Lexington, Nebraska"
KLPA-TV,PBS,"Alexandria, Louisiana"
KLPB-TV,PBS,"Lafayette, Louisiana"
KLRN,PBS,"San Antonio, Texas"
KLRT-TV,Fox,"Little Rock, Arkansas"
KLRU,PBS,"Austin, Texas"
KLSR-TV,34.1Fox,"Eugene, Oregon"
,23.2KEVU-CD,
KLST,CBS,"San Angelo, Texas"
KLTJ,Daystar Television Network,"Galveston, Texas"
KLTL-TV,PBS,"Lake Charles, Louisiana"
KLTM-TV,PBS,"Monroe, Louisiana"
KLTS-TV,PBS,"Shreveport, Louisiana"
KLTV,7.1ABC,"Tyler, Texas"
,7.3Telemundo,
KLUJ-TV,TBN,"Harlingen, Texas"
KLUZ-TV,Univision,"Albuquerque, New Mexico"
KLVX,PBS,"Las Vegas, Nevada"
KLWB,MeTV,"Lafayette, Louisiana"
KLWY,27.1Fox,"Cheyenne, Wyoming"
,27.2ABC,
KMAU,12.1ABC,"Wailuku, Hawaii"
,12.2MeTV,
KMAX-TV,The CW,"Sacramento, California"
KMBC-TV,9.1ABC,"Kansas City, Missouri"
,29.2MeTV,
KMBH,PBS,"Harlingen, Texas"
KMCB,NBC,"Coos Bay, Oregon"
KMCC,MundoFox,"Laughlin, Nevada"
KMCI-TV,38.1Independent,"Lawrence, Kansas"
,41.2Bounce TV,
KMCT-TV,religious,"West Monroe, Louisiana"
KMCY,ABC,"Minot, North Dakota"
KMDE,PBS,"Devils Lake, North Dakota"
KMEB,PBS,"Wailuku, Hawaii"
KMEG,CBS,"Sioux City, Iowa"
KMEX-DT,Univision,"Los Angeles, California"
KMGH-TV,7.1ABC,"Denver, Colorado"
,27.2KZCO-LP,
KMID,ABC,"Midland, Texas"
KMIR-TV,NBC,"Palm Springs, California"
KMIZ,17.1ABC,"Columbia, Missouri"
,17.3MyNetworkTV,
KMLM-DT,God's Learning Channel,"Odessa, Texas"
KMLU,8.2 ABC,"Columbia, Louisiana"
KMNE-TV,PBS,"Bassett, Nebraska"
KMOH-TV,MundoFox,"Kingman, Arizona"
KMOS-TV,PBS,"Sedalia, Missouri"
KMOT,10.lNBC,"Minot, North Dakota"
,10.2Fox,
KMOV,4.1CBS,"St. Louis, Missouri"
,24.2MeTV,
KMPH-TV,26.1Fox,"Visalia, California"
,28.2This TV,
KMPX,Estrella TV,"Decatur, Texas"
KMSB,11.1Fox,"Tucson, Arizona"
,11.2This TV,
KMSP-TV,Fox,"Minneapolis, Minnesota"
KMSS-TV,Fox,"Shreveport, Louisiana"
KMTP-TV,Ethnic Independent,"San Francisco, California"
KMTR,NBC,"Eugene, Oregon"
KMTV-TV,CBS,"Omaha, Nebraska"
KMTW,MyNetworkTV,"Hutchinson, Kansas"
KMVT,11.1CBS,"Twin Falls, Idaho"
,11.2The CW,
,43.3KSVT-LD,
KMVU-DT,26.1Fox,"Medford, Oregon"
,26.2MeTV,
KMYA-DT,MeTV,"Camden, Arkansas"
KMYS,The CW,"Kerrville, Texas"
KMYT-TV,MyNetworkTV,"Tulsa, Oklahoma"
KMYU,12.1MyNetworkTV/This TV,"St. George, Utah"
,9.2CBS,
KNAT-TV,TBN,"Albuquerque, New Mexico"
KNAZ-TV,NBC,"Flagstaff, Arizona"
KNBC,4.1NBC,"Los Angeles, California"
KNBN,21.1NBC,"Rapid City, South Dakota"
,27.2KWBH-LP,
KNCT,PBS,"Belton, Texas"
KNDB,Dark,"Bismarck, North Dakota"
KNDM,Dark,"Minot, North Dakota"
KNDO,NBC,"Yakima, Washington"
KNDU,NBC,"Richland, Washington"
KNHL,Dark,"Hastings, Nebraska"
KNIC-DT,Telefutura,"Blanco, Texas"
KNIN-TV,Fox,"Caldwell, Idaho"
KNLC,religiousindependent,"St. Louis, Missouri"
KNLJ,CTN,"Jefferson City, Missouri"
KNMD-TV,PBS World,"Santa Fe, New Mexico"
KNME-TV,PBS,"Albuquerque, New Mexico"
KNMT,TBN,"Portland, Oregon"
KNOE-TV,8.1CBS,"Monroe, Louisiana"
,8.2The CW,
KNOP-TV,2.1NBC,"North Platte, Nebraska"
,11.2KIIT,
KNPB,PBS,"Reno, Nevada"
KNRR,Fox,"Pembina, North Dakota"
KNSD,39.1NBC,"San Diego, California"
KNSO,Telemundo,"Merced, California"
KNTV,11.1NBC,"San Jose, California"
KNVA,The CW,"Austin, Texas"
KNVN,NBC,"Chico, California"
KNVO,48.1Univision,"McAllen, Texas"
,32.2KTFV-CD,
,21.4KCWT-CD,
KNWA-TV,NBC,"Rogers, Arkansas"
KNXT,Religious independent,"Visalia, California"
KNXV-TV,ABC,"Phoenix, Arizona"
KOAA-TV,NBC,"Pueblo, Colorado"
KOAB-TV,PBS,"Bend, Oregon"
KOAC-TV,PBS,"Corvallis, Oregon"
KOAM-TV,CBS,"Pittsburg, Kansas"
KOAT-TV,ABC,"Albuquerque, New Mexico"
KOB,4.1NBC,"Albuquerque, New Mexico"
,4.2This TV,
KOBF,12.1NBC,"Farmington, New Mexico"
,17.2This TV,
KOBI,NBC,"Medford, Oregon"
KOBR,8.1NBC,"Roswell, New Mexico"
,8.2This TV,
KOCB,The CW,"Oklahoma City, Oklahoma"
KOCE-TV,50.1PBS,"Huntington Beach, California"
,48.2OC Channel,
KOCM,Daystar,"Norman, Oklahoma"
KOCO-TV,5.1ABC,"Oklahoma City, Oklahoma"
,7.2MeTV,
KOCW,Fox,"Hoisington, Kansas"
KODE-TV,ABC,"Joplin, Missouri"
KOED-TV,PBS,"Tulsa, Oklahoma"
KOET,PBS,"Eufaula, Oklahoma"
KOFY-TV,20.1 Independent,"San Francisco, California"
,20.2 MeTV,
,20.3 VieTV,
,20.4 VietFace TV,
KOGG,NBC,"Wailuku, Hawaii"
KOHD,ABC,"Bend, Oregon"
KOIN,6.1CBS,"Portland, Oregon"
,6.2Get TV,
,6.3Decades,
KOKH-TV,Fox,"Oklahoma City, Oklahoma"
KOKI-TV,Fox,"Tulsa, Oklahoma"
KOLD-TV,13.1CBS,"Tucson, Arizona"
,32.2MeTV,
KOLN,10.1CBS,"Lincoln, Nebraska"
,10.2NBC,
KOLO-TV,ABC,"Reno, Nevada"
KOLR,CBS,"Springfield, Missouri"
KOMO-TV,ABC,"Seattle, Washington"
KOMU-TV,8.1NBC,"Columbia, Missouri"
,8.3The CW,
KONG,Independent,"Everett, Washington"
KOOD,PBS,"Hays, Kansas"
KOPB-TV,PBS,"Portland, Oregon"
KOPX-TV,ION Television,"Oklahoma City, Oklahoma"
KORO,Univision,"Corpus Christi, Texas"
KOSA-TV,7.1CBS,"Odessa, Texas"
,7.2MyNetworkTV,
KOTA-TV,Fox,"Rapid City, South Dakota"
KOTI,NBC,"Klamath Falls, Oregon"
KOTV-DT,CBS,"Tulsa, Oklahoma"
KOVR,CBS,"Stockton/Sacramento, California"
KOZJ,PBS,"Joplin, Missouri"
KOZK,PBS,"Springfield, Missouri"
KOZL-TV,MyNetworkTV,"Springfield, Missouri"
KPAX-TV,8.1CBS,"Missoula, Montana"
,7.2The CW,
KPAZ-TV,TBN,"Phoenix, Arizona"
KPBS,PBS,"San Diego, California"
KPBT-TV,PBS,"Odessa, Texas"
KPCB-DT,God's Learning Channel,"Snyder, Texas"
KPDX,49.1MyNetworkTV,"Vancouver, Washington"
,49.2Escape,
KPEJ-TV,Fox,"Odessa, Texas"
KPHO-TV,CBS,"Phoenix, Arizona"
KPIC,CBS,"Roseburg, Oregon"
KPIX-TV,CBS,"San Francisco, California"
KPJR-TV,TBN,"Greeley, Colorado"
KPLC,7.1NBC,"Lake Charles, Louisiana"
,7.3Bounce TV,
KPLO-TV,13.1CBS,"Reliance, South Dakota"
,13.2MyNetworkTV,
KPLR-TV,The CW,"St. Louis, Missouri"
KPMR,38.1Univision,"Santa Barbara, California"
,43.2KTSB-CA,
KPNE-TV,PBS,"North Platte, Nebraska"
KPNX,NBC,"Mesa, Arizona"
KPNZ,Estrella TV,"Ogden, Utah"
KPOB-TV,ABC,"Poplar Bluff, Missouri"
KPPX-TV,ION Television,"Tolleson, Arizona"
KPRC-TV,2.1NBC,"Houston, Texas"
,35.2This TV,
KPRY-TV,ABC,"Pierre, South Dakota"
KPSD-TV,PBS,"Eagle Butte, South Dakota"
KPTB-DT,God's Learning Channel,"Lubbock, Texas"
KPTF-DT,God's Learning Channel,"Farwell, Texas"
KPTH,44.1Fox,"Sioux City, Iowa"
,44.2MyNetworkTV/This TV,
KPTM,42.1Fox,"Omaha, Nebraska"
,42.2MyNetworkTV/This TV,
KPTS,PBS,"Hutchinson, Kansas"
KPTV,12.1Fox,"Portland, Oregon"
,12.2Cozi TV,
,12.3Laff,
KPTW,6.1 PBS,"Casper, Wyoming"
KPVI-DT,6.1NBC,"Pocatello, Idaho"
KPXB-TV,ION Television,"Conroe, Texas"
KPXC-TV,ION Television,"Denver, Colorado"
KPXD-TV,ION Television,"Arlington, Texas"
KPXE-TV,ION Television,"Kansas City, Missouri"
KPXG-TV,ION Television,"Salem, Oregon"
KPXJ,21.1The CW,"Minden, Louisiana"
,21.2MeTV,
KPXL-TV,ION Television,"Uvalde, Texas"
KPXM-TV,ION Television,"St. Cloud, Minnesota"
KPXN-TV,ION Television,"San Bernardino, California"
KPXO-TV,ION Television,"Kaneohe, Hawaii"
KPXR-TV,ION Television,"Cedar Rapids, Iowa"
KQCA,58.1MyNetworkTV,"Stockton, California"
,46.2This TV,
KQCD-TV,7.1NBC,"Dickinson, North Dakota"
,7.2Fox,
,7.3MeTV,
KQCK,MundoFox,"Cheyenne, Wyoming"
KQCW-DT,The CW,"Tulsa, Oklahoma"
KQDS-TV,Fox,"Duluth, Minnesota"
KQED,PBS,"San Francisco, California"
KQEH,54.1 PBS,"San Jose, California"
,54.2 KQED,
,54.3 KQED Life,
,54.4 KQED Kids,
,54.5 V-me,
KQET,PBS,"Watsonville, California"
KQIN,PBS,"Davenport, Iowa"
KQME,ABC,"Lead, South Dakota"
KQSD-TV,PBS,"Lowry, South Dakota"
KQSL,Independent,"Fort Bragg, California"
KQTV,ABC,"Saint Joseph, Missouri"
KQUP,Daystar,"Pullman, Washington"
KRBC-TV,NBC,"Abilene, Texas"
